applicant_id,name,gender,age,marital_status,employment_status,annual_income,loan_amount,loan_term_months,loan_purpose,credit_score,existing_loans_count,monthly_expense,application_date,approval_status,late_payments,risk_flag,region,employment_years,defaulted_before,debt_to_income_ratio,credit_risk_tier,income_group,approved_flag,late_payment_band
f0cd8b52-0aba-4cf0-aa17-060c0bc2f468,Diana Cruz,Female,48,Married,Unemployed,50032.67,24520.97,60,Business,768,1,650.49,2023-11-26,Pending,2,0,Sheffield,0,0,0.156,Very Good,30K-60K,0,1-2
8c7b2ea9-268b-4411-95c1-275855765062,Cody Gilbert,Female,28,Widowed,Self-employed,23625.63,29184.19,24,Home,822,0,4297.62,2023-06-12,Pending,1,0,Birmingham,11,0,2.1829,Exceptional,<30K,0,1-2
f6b196a4-cc62-4c5b-86b0-1a6c0af2a7ad,Denise Wiley,Other,37,Single,Unemployed,43507.67,39385.63,36,Business,789,2,2044.82,2024-03-22,Denied,2,0,Sheffield,24,0,0.564,Very Good,30K-60K,0,1-2
18944bde-4be6-43a7-9937-30b22d7cfa7a,Lauren Ayers,Female,21,Single,Unemployed,38878.18,28127.63,24,Home,739,2,3889.77,2024-03-14,Denied,4,0,Sheffield,12,0,1.2006,Good,30K-60K,0,3+
6b79dd74-421e-41c7-b1b1-dfdb9ebf3dec,Arthur Rocha,Female,36,Single,Self-employed,64987.25,20569.62,36,Home,592,4,4804.37,2024-03-09,Denied,3,0,Liverpool,13,0,0.8871,Fair,60K-90K,0,3+
bda4bc9b-807b-432c-ba02-f5bf8f56eacb,Garrett Jones,Other,56,Divorced,Self-employed,98195.48,24768.44,12,Education,347,1,1416.2,2025-03-07,Approved,1,0,Manchester,29,0,0.1731,Poor,90K+,1,1-2
8e9fef62-5bbf-449d-b0e0-d4ed9507013a,Dawn Reyes,Female,61,Single,Employed,49077.46,5119.57,36,Car,356,1,2915.51,2024-06-15,Approved,0,0,Leeds,28,0,0.7129,Poor,30K-60K,1,0
1527f825-e68e-4d0f-be8c-373e23932c15,Angelica Phillips,Female,42,Married,Unemployed,118436.64,15810.7,60,Education,393,3,2098.85,2024-10-21,Pending,0,0,Birmingham,25,0,0.2127,Poor,90K+,0,0
c45f6fb9-1732-4403-9385-8fb648beb93c,Mindy Bowman,Male,34,Widowed,Self-employed,43293.3,26102.32,36,Business,634,0,1241.55,2025-04-02,Approved,1,0,London,21,0,0.3441,Fair,30K-60K,1,1-2
67480717-9b3b-4f9b-9d8e-57ba9073dd2a,Catherine Welch,Male,21,Widowed,Unemployed,118814.99,5398.11,24,Home,662,4,4475.5,2023-09-22,Denied,2,0,Sheffield,20,1,0.452,Fair,90K+,0,1-2
68bc0c27-9bef-4228-8669-2580566cc561,Jared Miller DDS,Male,58,Divorced,Employed,51153.65,25585.13,24,Home,533,3,4975.98,2025-03-08,Denied,1,0,London,8,0,1.1673,Poor,30K-60K,0,1-2
69fc5cfa-2c5c-44dd-b30f-b328c411688e,Ivan Graham,Female,62,Divorced,Self-employed,18023.87,42382.7,60,Business,601,3,4445.69,2023-09-23,Approved,1,0,Liverpool,27,0,2.9599,Fair,<30K,1,1-2
e4fc998d-486e-4deb-9674-f9839cf8d6b9,Laura Bennett,Male,31,Married,Employed,82555.7,8400.09,60,Personal,632,0,4263.75,2023-08-31,Denied,1,0,Liverpool,18,0,0.6198,Fair,60K-90K,0,1-2
aee2a66e-87b7-427a-bb32-bc7d59d5d8e2,Jonathan Jackson,Other,37,Divorced,Unemployed,116595.01,33488.65,60,Personal,415,0,2896.29,2024-03-24,Denied,0,0,Leeds,7,0,0.2981,Poor,90K+,0,0
96534716-6f17-47d8-8a0c-5ceb35dd7322,William Diaz,Female,53,Widowed,Self-employed,89142.02,49373.92,24,Home,807,4,1050.26,2024-06-08,Pending,0,0,London,22,0,0.1414,Exceptional,60K-90K,0,0
37321a1f-58bb-4e15-9848-2b63c61aec4a,Susan Collins,Female,39,Married,Self-employed,64246.66,9345.6,12,Car,442,2,1819.54,2023-09-15,Pending,1,0,Manchester,5,1,0.3399,Poor,60K-90K,0,1-2
8276f880-1937-457b-b1c9-e0ee4ef21880,Eric Anderson,Male,25,Widowed,Self-employed,64528.46,36074.34,48,Business,381,0,4348.97,2024-03-04,Approved,1,0,Liverpool,19,0,0.8088,Poor,60K-90K,1,1-2
684a5b6a-2719-4818-a7c8-72ede2d88cb8,Johnny Carter,Female,62,Widowed,Employed,82925.55,6346.18,60,Education,591,2,612.65,2024-05-01,Denied,0,0,Liverpool,18,0,0.0887,Fair,60K-90K,0,0
1ae74229-eeaf-4a39-b803-d77060348707,Theodore Smith,Male,62,Single,Self-employed,87985.49,41062.02,60,Car,848,0,1110.68,2024-12-06,Approved,0,0,Leeds,25,1,0.1515,Exceptional,60K-90K,1,0
1c090753-7596-4486-8cc7-37b039c161ef,Austin Baker,Female,34,Single,Self-employed,112770.73,7833.52,48,Business,486,3,2466.94,2025-04-17,Approved,2,0,London,11,0,0.2625,Poor,90K+,1,1-2
bdf377ba-b8c2-4e91-98d1-e288435dc1e4,Angela Shah,Other,23,Widowed,Unemployed,119507.1,31196.8,48,Home,706,4,3553.68,2025-03-12,Pending,1,0,Birmingham,8,0,0.3568,Good,90K+,0,1-2
f11c0755-7c72-401c-9f9c-a67911275c7f,Beth Howe,Female,51,Widowed,Employed,40614.13,20720.96,60,Car,565,0,3125.54,2024-03-11,Pending,2,0,London,27,0,0.9235,Poor,30K-60K,0,1-2
2900a4ad-da47-4c88-9182-90e7dca7befc,Steven Nelson,Female,26,Single,Self-employed,24853.24,7916.27,36,Personal,706,4,1294.55,2024-08-12,Approved,0,0,Sheffield,16,0,0.6251,Good,<30K,1,0
fe1617b9-cd23-4826-b547-3daa477947d5,Thomas Beasley,Male,59,Widowed,Employed,55908.7,17310.12,48,Home,654,2,1590.62,2025-02-25,Denied,0,0,Birmingham,15,1,0.3414,Fair,30K-60K,0,0
016fb084-b601-4558-94e4-3d7d84c48c2b,Tina Garcia,Other,39,Widowed,Unemployed,49413.72,28291.44,48,Personal,557,0,4675.48,2024-01-26,Denied,1,1,Manchester,3,0,1.1354,Poor,30K-60K,0,1-2
ccda93f8-152b-4fb6-94e5-2c8dc956a6fb,Andrew Peters,Male,43,Widowed,Unemployed,116110.51,27023.16,60,Home,819,3,4114.12,2024-09-09,Approved,0,1,Liverpool,23,0,0.4252,Exceptional,90K+,1,0
840716b2-9554-47fc-9eb7-3149de58acf9,Chris Campbell,Male,48,Widowed,Employed,37517.33,19819.15,48,Home,355,4,2920.18,2024-02-04,Pending,2,0,London,4,0,0.934,Poor,30K-60K,0,1-2
94980c4f-5815-45d5-8ad9-16362be27afa,Kimberly Hurley,Male,62,Married,Unemployed,22731.65,21169.79,36,Business,846,0,1225.58,2024-01-03,Pending,0,0,Manchester,7,0,0.647,Exceptional,<30K,0,0
1ee63705-3d2c-4d8e-84d6-3cdbb60236ee,Ashley Taylor,Female,60,Divorced,Employed,103173.97,30564.01,12,Personal,510,4,2431.99,2023-12-17,Pending,2,0,Leeds,4,0,0.2829,Poor,90K+,0,1-2
141324e6-5c18-42df-9c16-477d0e8ab56a,Ryan Williams,Other,23,Single,Employed,15634.88,10721.2,24,Home,768,4,1775.12,2023-12-14,Approved,0,0,Manchester,18,0,1.3624,Very Good,<30K,1,0
9e2ead06-06d5-4f10-84a0-2362c72f8682,Tammie Oconnor,Other,32,Married,Unemployed,114791.11,45737.2,60,Education,629,4,2098.86,2024-09-09,Pending,1,0,Glasgow,21,0,0.2194,Fair,90K+,0,1-2
9cc49cff-47be-4cfd-b15b-b37f7e85d63e,Jill Butler,Male,32,Single,Self-employed,67671.04,19233.33,60,Education,553,3,1439.03,2025-04-02,Approved,0,0,Glasgow,21,0,0.2552,Poor,60K-90K,1,0
fac60c1f-934f-4f77-9757-9580fa064036,David Dean,Female,57,Divorced,Unemployed,73580.73,12815.89,24,Education,800,1,944.08,2024-11-26,Denied,1,0,Birmingham,15,0,0.154,Exceptional,60K-90K,0,1-2
8f6af664-a314-4186-b5aa-1252ac0fae49,Karen Neal,Female,38,Divorced,Employed,59173.21,3988.62,24,Home,448,2,1662.58,2023-08-19,Pending,1,0,Manchester,19,0,0.3372,Poor,30K-60K,0,1-2
fd36dd66-5691-4cc5-8ca7-0b74e8bda365,Catherine Wilson,Female,32,Single,Employed,65331.16,7223.35,48,Personal,770,2,4005.17,2023-10-08,Denied,0,0,London,27,0,0.7357,Very Good,60K-90K,0,0
8bcbc688-adda-472c-81d7-9b2e5a836b00,Shawn Smith,Male,40,Widowed,Employed,15960.52,30332.02,60,Car,666,0,1885.7,2024-10-04,Pending,3,1,Sheffield,15,0,1.4178,Fair,<30K,0,3+
bca967b0-bb66-4859-a126-909f5bf839bf,Jennifer Torres,Other,52,Married,Unemployed,50779.88,15800.2,36,Education,428,3,1827.42,2025-03-10,Approved,2,1,London,11,0,0.4318,Poor,30K-60K,1,1-2
e2b0efa7-b06f-44d9-9fbb-08ba95a3ec69,Jonathan Welch,Female,40,Widowed,Employed,18480.25,9745.57,24,Personal,500,1,3784.62,2023-09-08,Denied,0,0,Birmingham,23,0,2.4575,Poor,<30K,0,0
d334aa60-8d5b-4cff-adb5-aa59bfeda671,Brittney Cuevas,Female,54,Married,Self-employed,77098.61,23663.3,60,Business,809,2,4434.17,2025-04-03,Denied,1,0,Liverpool,19,0,0.6902,Exceptional,60K-90K,0,1-2
21d8d980-ecfd-4740-90ca-73afaa65d52f,Lisa Murray,Female,25,Single,Employed,54623.22,10835.63,48,Education,779,4,4478.63,2024-12-19,Approved,0,0,Leeds,21,0,0.9839,Very Good,30K-60K,1,0
d56f9f20-48be-485c-9187-6c0e4f33dc3c,Angela Gomez,Male,53,Divorced,Employed,44156.81,36527.93,36,Personal,603,2,4914.87,2024-06-08,Denied,1,0,Birmingham,17,0,1.3357,Fair,30K-60K,0,1-2
fd63da62-8ad9-4a72-8926-cc2f73c8632a,John Pearson,Male,63,Widowed,Unemployed,75909.33,22853.66,36,Business,462,1,1298.96,2024-05-12,Pending,1,0,Liverpool,6,0,0.2053,Poor,60K-90K,0,1-2
65a561bf-8fd4-4998-b39b-35063f74b1aa,Ann Cole,Female,42,Married,Unemployed,96623.48,7200.74,48,Car,501,3,3983.01,2023-06-14,Approved,0,0,Manchester,25,1,0.4947,Poor,90K+,1,0
407c1aa3-9700-4fa9-94a3-9cc08117d952,Cheryl Lewis,Other,42,Single,Unemployed,117475.71,47972.35,36,Business,359,0,2585.83,2024-11-07,Pending,3,0,Sheffield,13,0,0.2641,Poor,90K+,0,3+
eeef1d5e-a2c2-48e2-8d04-e2e5889ff60b,Charles Ross,Female,44,Single,Self-employed,43193.35,20586.56,60,Education,448,4,1095.45,2024-05-23,Denied,1,0,Manchester,6,0,0.3043,Poor,30K-60K,0,1-2
fb8b9ca6-845d-46e0-aac1-bd24a8c164b6,Sandra Craig,Female,33,Single,Self-employed,62236.73,48651.28,24,Personal,561,3,1270.36,2024-11-11,Approved,1,1,Liverpool,12,0,0.2449,Poor,60K-90K,1,1-2
db6f426a-635a-4b30-8bcb-c037cc2affab,Kevin Bailey,Other,61,Single,Self-employed,100145.66,2008.76,24,Personal,647,2,4222.77,2024-09-13,Pending,1,0,Liverpool,10,1,0.506,Fair,90K+,0,1-2
ccf0b75c-3432-449b-9d45-625508404a7f,Brian Gamble,Male,47,Widowed,Self-employed,51749.04,28384.18,60,Home,651,2,2644.35,2024-09-02,Approved,1,1,Sheffield,1,0,0.6132,Fair,30K-60K,1,1-2
40cb7a4b-6dd0-4903-8598-d6554fd43772,Vincent Roberts,Female,34,Married,Self-employed,31116.59,23320.67,48,Car,745,1,2777.29,2023-05-31,Pending,0,0,Glasgow,12,0,1.0711,Very Good,30K-60K,0,0
89f24f25-261f-49bb-8a2c-21dc7d5982aa,Tammy Baker,Male,30,Divorced,Unemployed,17789.16,43387.55,48,Car,718,2,730.06,2024-12-31,Denied,0,0,London,26,0,0.4925,Good,<30K,0,0
12c0795a-8a82-4e8c-aba2-5dafd25763ae,Dr. Wanda Mays,Female,60,Single,Self-employed,23957.03,18461.56,12,Business,341,3,3361.43,2024-02-12,Denied,1,0,Sheffield,14,0,1.6837,Poor,<30K,0,1-2
ca91cfb2-6dce-45d1-a4bd-8a9e14f116ca,Katelyn Cummings,Other,41,Married,Unemployed,100891.46,41013.26,48,Home,550,4,801.27,2023-12-13,Approved,0,1,Liverpool,9,0,0.0953,Poor,90K+,1,0
b2bf6104-4ed9-463d-a85f-a4e1d2aac495,Misty Oconnor,Male,50,Divorced,Employed,117686.79,2566.49,48,Personal,589,0,1565.71,2024-04-06,Denied,1,0,London,15,0,0.1596,Fair,90K+,0,1-2
34deb999-8c6e-4abc-a5c9-d56fe5bf6a2e,Martha Richard,Other,34,Married,Unemployed,100780.67,40598.58,48,Education,489,1,1560.33,2024-01-25,Pending,1,0,Birmingham,10,0,0.1858,Poor,90K+,0,1-2
472506fe-56e3-4531-ada3-51ff4b7496a2,Erik Olson,Female,24,Single,Self-employed,48748.88,2125.35,24,Business,800,2,3660.96,2024-06-17,Approved,1,0,Glasgow,1,1,0.9012,Exceptional,30K-60K,1,1-2
ae77a1cb-1b49-4c8b-a86c-98518e9e1c1e,David Lynch,Female,54,Married,Self-employed,58459.49,32292.91,36,Car,637,4,4173.75,2024-10-12,Pending,3,0,Birmingham,29,0,0.8567,Fair,30K-60K,0,3+
d677e2dc-8165-4838-afbb-c188e88dc797,Amanda Taylor,Other,48,Married,Self-employed,65973.91,3957.08,48,Personal,537,2,2504.28,2025-02-02,Pending,1,0,Leeds,7,0,0.4555,Poor,60K-90K,0,1-2
10348516-d189-4731-bf8d-8c2c6e9ef765,Victoria Doyle,Male,64,Widowed,Employed,92389.35,47727.28,60,Home,626,2,4959.42,2024-08-25,Denied,1,1,Liverpool,1,0,0.6442,Fair,90K+,0,1-2
24b64e62-2507-4968-90a6-175a132406cc,David Browning,Other,45,Divorced,Self-employed,92515.44,19192.72,12,Education,540,1,3776.37,2023-11-12,Approved,0,0,Glasgow,28,0,0.4898,Poor,90K+,1,0
53064a2e-c3e0-4596-85e6-e694b23a9940,Brenda Arellano,Female,41,Single,Employed,118541.95,48815.86,60,Car,525,2,3999.02,2023-11-20,Denied,0,0,Manchester,28,1,0.4048,Poor,90K+,0,0
3f1612b8-4728-4f5d-9ae4-d3298bf67e85,Laura Mills,Other,58,Married,Unemployed,64046.33,27446.31,12,Business,716,1,4267.76,2023-11-17,Denied,0,0,Sheffield,4,0,0.7996,Good,60K-90K,0,0
293012cd-fff3-4e1f-9949-b05a40e85346,Carolyn Scott,Female,46,Single,Employed,19416.65,39157.1,36,Business,762,0,4531.64,2024-04-02,Approved,0,0,Manchester,10,0,2.8007,Very Good,<30K,1,0
30cbb414-3bff-4dbd-a484-881869b12891,Jodi Hughes,Other,30,Single,Self-employed,92586.8,29748.92,12,Car,659,4,3827.75,2024-02-10,Denied,4,0,Leeds,28,0,0.4961,Fair,90K+,0,3+
9b69c2be-233b-427f-80d2-f8710ae538f7,Cassandra Cantrell,Male,38,Widowed,Self-employed,97581.4,26389.19,24,Home,330,3,3927.63,2023-05-16,Approved,0,1,Liverpool,16,1,0.483,Poor,90K+,1,0
9db74f72-6926-4afa-9ab1-0c3fd331294b,Melissa Bennett,Other,60,Divorced,Self-employed,88110.63,12646.3,36,Personal,374,0,4494.75,2024-01-17,Approved,1,0,Manchester,0,0,0.6122,Poor,60K-90K,1,1-2
087254b5-767e-4ba7-8003-fa4541623fb0,Lori Hayes,Male,60,Divorced,Unemployed,100276.19,34651.09,48,Personal,709,2,1446.13,2024-11-29,Denied,1,0,Leeds,29,0,0.1731,Good,90K+,0,1-2
73c16e65-d796-458e-96c4-a83f2329abca,Holly Gallegos,Other,45,Married,Employed,54755.31,18755.98,60,Home,577,1,4957.14,2023-07-09,Denied,0,0,Manchester,2,0,1.0864,Poor,30K-60K,0,0
2a9c1b3b-98bf-4c8b-b69c-ca1da3d2c863,Samantha Stafford,Female,63,Married,Unemployed,113514.87,49612.05,12,Personal,716,1,1275.99,2023-08-12,Denied,1,0,Glasgow,22,0,0.1349,Good,90K+,0,1-2
81929a57-9b2e-464c-9cae-da6b67938736,Daniel Mcdonald,Male,35,Widowed,Unemployed,75675.97,33469.56,60,Education,376,3,4537.45,2024-05-25,Denied,1,0,London,14,0,0.7195,Poor,60K-90K,0,1-2
cbd6d957-e405-462b-ac9f-ffbba9eeacbb,James Johnson,Female,27,Married,Employed,110889.04,28710.75,48,Business,811,3,889.31,2023-10-08,Pending,1,0,London,5,0,0.0962,Exceptional,90K+,0,1-2
997166ea-c1aa-4a7a-b07f-d2a19d7b8418,David Simpson,Female,44,Single,Employed,56094.6,16129.78,24,Education,703,4,1363.05,2025-02-09,Pending,0,1,Liverpool,24,0,0.2916,Good,30K-60K,0,0
10490a19-27cc-494a-a7e5-c57077c56a5d,Wesley Aguilar,Other,59,Widowed,Employed,101696.21,11569.4,24,Car,704,2,3517.04,2024-02-04,Pending,3,0,London,15,0,0.415,Good,90K+,0,3+
3c2f738a-6981-4ae6-b2a7-453f5f497189,John Murray,Other,48,Married,Unemployed,60141.84,12000.33,36,Business,354,0,4144.34,2023-05-22,Approved,1,0,Glasgow,21,0,0.8269,Poor,60K-90K,1,1-2
7bc4cdf3-7282-4488-979c-473429b3f4b5,Daniel Olson,Other,49,Widowed,Self-employed,26060.78,28542.6,24,Car,729,1,2392.47,2024-10-10,Pending,1,0,Sheffield,18,0,1.1016,Good,<30K,0,1-2
2b6d2e4b-c0f8-459e-84f0-840568fb72f2,Marvin Cole,Other,48,Divorced,Unemployed,62764.17,22844.81,12,Business,669,0,589.34,2024-05-17,Approved,1,0,Birmingham,0,0,0.1127,Fair,60K-90K,1,1-2
dc3f93bf-800b-4d3f-925e-ef805582aa8c,Kimberly Long,Female,28,Married,Employed,115694.32,40754.78,24,Personal,696,4,2975.04,2023-10-13,Approved,1,0,Liverpool,26,0,0.3086,Good,90K+,1,1-2
0a4e6a91-a3ef-49f0-85e2-07dbbe1db033,Jennifer Craig,Male,27,Married,Self-employed,113453.0,47150.61,36,Home,723,2,3734.65,2024-12-15,Approved,0,0,Birmingham,6,0,0.395,Good,90K+,1,0
eaac07b1-3102-48dd-aac9-2206cf265f53,Nicolas Smith,Female,42,Married,Employed,35113.0,4187.64,60,Education,426,4,4485.88,2023-07-28,Denied,2,1,London,2,0,1.5331,Poor,30K-60K,0,1-2
109fc2cb-cab7-460a-975b-d023ba0a1600,Kimberly Diaz,Other,25,Married,Self-employed,38984.73,47496.84,60,Home,817,0,4249.6,2024-01-19,Pending,0,0,London,11,0,1.3081,Exceptional,30K-60K,0,0
9ee56c83-f87f-4cd4-a3b9-2ab598984a60,Adam May,Other,26,Widowed,Unemployed,47998.55,20915.58,36,Business,323,1,1260.3,2023-09-12,Approved,2,0,Sheffield,21,0,0.3151,Poor,30K-60K,1,1-2
21d734bb-63aa-40af-93e3-b4b2e16199b9,Stephen Singh,Male,35,Divorced,Unemployed,97729.58,13347.13,36,Car,675,3,3906.75,2024-01-11,Approved,0,0,Leeds,2,0,0.4797,Good,90K+,1,0
5c5b6f2a-75a3-4ecf-9927-98671eac5095,Jason Griffin,Male,28,Widowed,Employed,32169.62,29831.03,48,Car,736,4,1282.14,2024-04-30,Approved,0,0,London,9,0,0.4783,Good,30K-60K,1,0
92a5f85a-8003-4780-89d4-7980b02855dc,Curtis Salinas,Female,59,Married,Unemployed,72806.87,11243.93,24,Education,364,0,804.03,2024-04-19,Pending,0,1,Manchester,14,0,0.1325,Poor,60K-90K,0,0
9a1bd56e-2224-40fe-9a48-d60985782689,Ashley Frazier,Male,54,Single,Unemployed,100657.01,35814.01,12,Education,718,1,3054.56,2023-08-22,Denied,0,0,Manchester,12,0,0.3642,Good,90K+,0,0
6370b17f-4076-42d0-91b2-4212229dfd97,Michelle Chapman,Female,36,Divorced,Unemployed,75437.35,31456.48,24,Personal,300,0,2775.62,2024-03-26,Approved,1,0,Manchester,21,0,0.4415,Poor,60K-90K,1,1-2
69940e4e-be80-4ddb-97c8-cbdd290ea80b,Melissa Ross,Other,63,Divorced,Unemployed,60082.37,29250.45,48,Personal,537,3,2196.2,2023-10-03,Denied,1,0,London,16,0,0.4386,Poor,60K-90K,0,1-2
7b90ca12-9034-4d43-aa62-e8b40f259b55,Roberto Cooper,Female,58,Married,Employed,113848.74,6128.76,60,Car,520,4,831.21,2024-07-19,Denied,1,0,Leeds,1,0,0.0876,Poor,90K+,0,1-2
fbdbad26-72fd-4087-9636-81859c6d44bc,Jennifer Watts,Male,32,Widowed,Self-employed,20678.64,43015.37,24,Car,457,1,974.42,2025-01-30,Pending,0,0,Sheffield,28,0,0.5655,Poor,<30K,0,0
9b0c45f4-4668-44f0-9ba3-44579b7f7bbf,Oscar Haley,Other,52,Married,Employed,92760.03,2223.1,24,Business,618,4,3809.22,2023-08-18,Approved,1,0,Manchester,25,0,0.4928,Fair,90K+,1,1-2
21b87ce0-3dcd-4ab7-b346-9f06632182b4,Dr. Shelly Kirk,Female,64,Single,Unemployed,68833.59,42829.86,48,Education,457,0,3025.68,2025-02-04,Pending,1,0,Liverpool,7,0,0.5275,Poor,60K-90K,0,1-2
5d1c75de-695a-4742-9305-313e070bba8f,Shirley Haley,Male,47,Married,Employed,33667.25,2413.48,24,Education,669,1,1623.32,2025-03-18,Approved,1,0,London,13,0,0.5786,Fair,30K-60K,1,1-2
7c1da5b3-bb19-44d1-be70-e15cdd7fe21c,Christina Torres,Female,38,Divorced,Employed,98874.82,13133.19,24,Car,447,3,4590.55,2023-08-19,Denied,5,0,Liverpool,0,0,0.5571,Poor,90K+,0,3+
0212808e-3785-4076-89b8-f63c0ad3f42f,Brittany Jensen,Other,45,Single,Unemployed,107110.27,48638.11,36,Education,776,3,926.57,2024-08-02,Approved,2,0,Sheffield,27,0,0.1038,Very Good,90K+,1,1-2
adc989b5-492e-4ff5-80a6-b558cd9f855d,Heather Herrera DVM,Female,29,Married,Employed,113543.06,32989.51,12,Business,633,2,3033.27,2023-08-29,Approved,1,0,Birmingham,17,0,0.3206,Fair,90K+,1,1-2
b49a2921-0a63-46d1-96cb-a8551c07e78b,Laura Salazar,Male,56,Married,Self-employed,115778.29,3594.07,36,Personal,681,1,4423.3,2024-10-02,Pending,2,0,Liverpool,15,0,0.4585,Good,90K+,0,1-2
7c7023b2-07d0-4c70-8b9e-982a9c6795f5,Danny Larson,Female,38,Widowed,Unemployed,80000.24,3832.96,24,Personal,664,2,2007.05,2024-10-28,Approved,1,0,Birmingham,2,0,0.3011,Fair,60K-90K,1,1-2
9ba3aedf-8e58-4e58-a0ed-99f187995f1c,Tyler Holland,Male,24,Divorced,Self-employed,100063.4,31705.48,48,Education,398,3,4477.46,2023-07-19,Denied,1,0,Birmingham,22,0,0.537,Poor,90K+,0,1-2
296a7fe9-b9db-400e-b2eb-24f9ca5ec026,Jesus Strickland,Male,37,Married,Self-employed,95759.85,38636.39,60,Education,520,4,1497.36,2025-03-08,Denied,1,0,London,17,0,0.1876,Poor,90K+,0,1-2
eb2107a4-23ee-4d11-a14d-b9e475cb3e25,Daniel Page,Female,35,Single,Unemployed,25315.39,36985.01,60,Personal,375,0,3718.04,2024-03-06,Approved,0,0,Leeds,21,0,1.7624,Poor,<30K,1,0
9480e129-a5b2-4b49-8ffb-f1f32e692c82,Alisha Adams,Female,59,Divorced,Employed,22975.33,22381.94,48,Education,802,2,3957.86,2025-02-20,Pending,0,0,Manchester,14,0,2.0672,Exceptional,<30K,0,0
0baee36d-7089-4160-a100-5e87a8b10713,Daniel Mcfarland,Male,22,Married,Unemployed,71386.17,7572.2,60,Home,438,2,2249.76,2024-01-10,Approved,1,0,Glasgow,15,0,0.3782,Poor,60K-90K,1,1-2
5c3686fe-c215-4d9b-8d03-863ffb114bba,Mr. Bradley Martin,Male,47,Divorced,Employed,98052.62,16527.9,36,Home,525,1,1132.37,2023-07-25,Denied,0,0,Leeds,21,0,0.1386,Poor,90K+,0,0
346096aa-6204-4aaa-9814-b84e157f10f3,Ricardo Perry,Female,29,Married,Unemployed,68186.63,2996.62,60,Education,731,3,1748.02,2024-04-12,Denied,2,0,Manchester,12,0,0.3076,Good,60K-90K,0,1-2
3c3d04a0-cd7a-4c47-8fb1-1a69a9ea4d29,Edward Moore,Other,47,Single,Self-employed,77006.3,18277.16,48,Education,440,1,4580.49,2025-04-17,Denied,1,1,Leeds,6,0,0.7138,Poor,60K-90K,0,1-2
471810f1-e6eb-402c-a6eb-b46f7e322979,Edward Collins,Female,22,Widowed,Employed,62131.53,18620.31,60,Education,472,3,1207.61,2024-11-17,Approved,2,1,Birmingham,2,0,0.2332,Poor,60K-90K,1,1-2
c4867bcf-352e-4c1b-b3b7-1d9d1d97a6b5,Glen Gardner,Other,24,Single,Self-employed,81435.84,10688.83,12,Car,455,0,819.32,2024-08-17,Pending,0,0,Birmingham,0,0,0.1207,Poor,60K-90K,0,0
79f85f69-4a09-4012-8187-6ac6ec721387,James Aguirre,Other,33,Widowed,Unemployed,35686.45,44829.49,12,Business,607,2,2693.12,2023-10-13,Pending,0,0,Liverpool,6,0,0.9056,Fair,30K-60K,0,0
